Correlation term,Integral,integrand w other com ommitted
<04><15><32>,+(0ta)(0ab),"(0*(GTt0-GTtb))[a,[(b*(-GTba)),(a*(GTa0-GTab))]pb]+[(b*(-GTba)),(0*(GTt0-GTtb))][a,(a*(GTa0-GTab))p]b-[a,[(b*(-GTba)),(0*(GTt0-GTtb))(a*(GTa0-GTab))]pb]"
<04><51><23>,+(0ta)(0ab),"(0*(GTt0-GTtb))[a,bp[(b*(Gab)),(a*(Gba-G0a))]]-(0*(GTt0-GTtb))[(b*(Gab)),b[a,p(a*(Gba-G0a))]]+[a,(0*(GTt0-GTtb))[(b*(Gab)),bp](a*(Gba-G0a))]+[(b*(Gab)),b(0*(GTt0-GTtb))[a,p(a*(Gba-G0a))]]-[a,[(b*(Gab)),b(0*(GTt0-GTtb))p(a*(Gba-G0a))]]"
<04><51><32>,+(0ta)(0ab),"-[a,(0*(GTt0-GTtb))][(b*(-GTba)),pb](a*(Gba-G0a))-[(b*(-GTba)),(0*(GTt0-GTtb))][a,p(a*(Gba-G0a))]b-(0*(GTt0-GTtb))[a,[(b*(-GTba)),p(a*(Gba-G0a))b]]+[a,[(b*(-GTba)),(0*(GTt0-GTtb))p(a*(Gba-G0a))b]]"
<05><12><34>,+(0ta)(0ab),"(0*(GTt0-GTtb))[(b*(Gab)),b[(a*(Gta)),ap]]-[(a*(Gta)),a(0*(GTt0-GTtb))[(b*(Gab)),bp]]+[(a*(Gta)),a[(b*(Gab)),b(0*(GTt0-GTtb))p]]-[(b*(Gab)),b(0*(GTt0-GTtb))[(a*(Gta)),ap]]"
<05><12><43>,+(0ta)(0ab),"[(b*(-GTba)),(0*(GTt0-GTtb))][(a*(Gta)),ap]b-[(a*(Gta)),a[(b*(-GTba)),(0*(GTt0-GTtb))]pb]"
<05><21><34>,+(0ta)(0ab),"-[(a*(-GTat)),[(b*(Gab))b,(0*(GTt0-GTtb))]]pa+[(a*(-GTat)),[b,(0*(GTt0-GTtb))]p(b*(Gab))a]-[b,(0*(GTt0-GTtb))][(a*(-GTat)),pa](b*(Gab))"
<05><21><43>,+(0ta)(0ab),"-[(b*(-GTba)),(0*(GTt0-GTtb))][(a*(-GTat)),pa]b+[(a*(-GTat)),[(b*(-GTba)),(0*(GTt0-GTtb))]pba]"
<05><13><24>,+(0ta)(0ab),"-(0*(GTt0-GTtb))[a,[(b*(Gab-G0b)),(a*(GTab))]bp]+(0*(GTt0-GTtb))[(b*(Gab-G0b)),b[a,(a*(GTab))p]]-[a,(a*(GTab))(0*(GTt0-GTtb))[(b*(Gab-G0b)),bp]]-[(b*(Gab-G0b)),b(0*(GTt0-GTtb))[a,(a*(GTab))p]]+[a,[(b*(Gab-G0b)),(a*(GTab))b(0*(GTt0-GTtb))p]]"
<05><13><42>,+(0ta)(0ab),"(0*(GTt0-GTtb))[a,[(b*(GTb0-GTba)),(a*(GTab))]pb]+[(b*(GTb0-GTba)),(0*(GTt0-GTtb))][a,(a*(GTab))p]b-[a,[(b*(GTb0-GTba)),(a*(GTab))(0*(GTt0-GTtb))]pb]"
<05><31><24>,+(0ta)(0ab),"(0*(GTt0-GTtb))[a,bp[(b*(Gab-G0b)),(a*(-Gba))]]-(0*(GTt0-GTtb))[(b*(Gab-G0b)),b[a,p(a*(-Gba))]]+[a,(0*(GTt0-GTtb))[(b*(Gab-G0b)),bp](a*(-Gba))]+[(b*(Gab-G0b)),b(0*(GTt0-GTtb))[a,p(a*(-Gba))]]-[a,[(b*(Gab-G0b)),b(0*(GTt0-GTtb))p(a*(-Gba))]]"
<05><31><42>,+(0ta)(0ab),"[a,(0*(GTt0-GTtb))]pb[(b*(GTb0-GTba)),(a*(-Gba))]+[a,[(b*(GTb0-GTba)),(0*(GTt0-GTtb))]pb(a*(-Gba))]-[(b*(GTb0-GTba)),(0*(GTt0-GTtb))][a,p(a*(-Gba))]b"
<05><14><23>,+(0ta)(0ab),"(0*(GTt0-GTtb))[(b*(Gtb-Gab)),b[a,(a*(GTab))p]]+(0*(GTt0-GTtb))[a,(a*(GTab))[(b*(Gtb-Gab)),bp]]-(0*(GTt0-GTtb))[(b*(Gtb-Gab)),[a,(a*(GTab))bp]]-[(b*(Gtb-Gab)),b(0*(GTt0-GTtb))[a,(a*(GTab))p]]-[a,(a*(GTab))(0*(GTt0-GTtb))[(b*(Gtb-Gab)),bp]]+[(b*(Gtb-Gab)),[a,(a*(GTab))b(0*(GTt0-GTtb))p]]"
<05><14><32>,+(0ta)(0ab),"(0*(GTt0-GTtb))[(b*(Gtb-Gab)),[a,b]p(a*(-Gba))]+[a,(0*(GTt0-GTtb))][(b*(Gtb-Gab)),bp](a*(-Gba))-[(b*(Gtb-Gab)),[a,b(0*(GTt0-GTtb))]p(a*(-Gba))]"
<05><41><23>,+(0ta)(0ab),"(0*(GTt0-GTtb))[(b*(GTba-GTbt)),(a*(GTab))p[a,b]]-(0*(GTt0-GTtb))[a,(a*(GTab))[(b*(GTba-GTbt)),pb]]+[(b*(GTba-GTbt)),(0*(GTt0-GTtb))[a,(a*(GTab))p]b]+[a,(a*(GTab))(0*(GTt0-GTtb))[(b*(GTba-GTbt)),pb]]-[(b*(GTba-GTbt)),[a,(a*(GTab))(0*(GTt0-GTtb))pb]]"
<05><41><32>,+(0ta)(0ab),"-[(b*(GTba-GTbt)),(0*(GTt0-GTtb))][a,p(a*(-Gba))]b+[(0*(GTt0-GTtb)),a][(b*(GTba-GTbt)),pb](a*(-Gba))-(0*(GTt0-GTtb))[(b*(GTba-GTbt)),[a,pb(a*(-Gba))]]+[(b*(GTba-GTbt)),[a,(0*(GTt0-GTtb))pb(a*(-Gba))]]"
<02><14><35>,-(0ta)(0ab),"[a,(0*(GTt0-GTta))][(b*(Gab)),(a*(GTa0-GTab))]bp"
<02><14><53>,-(0ta)(0ab),"-[a,(0*(GTt0-GTta))][(b*(-GTba)),(a*(GTa0-GTab))]pb"
